category,paid_projects_count,currency,distributed_to_date_total
basic_web_dashboard,65,$ADA,4719979.200000
basic_web_dashboard,65,USD,947476.250000
bots_automation,112,$ADA,10889434.050000
bots_automation,112,USD,2543712.070000
content_education,185,$ADA,9667011.010000
content_education,185,USD,2957233.260000
legal_admin,65,$ADA,3774031.000000
legal_admin,65,USD,977515.500000
other,1425,$ADA,95992399.860000
other,1425,USD,23353194.620000
scraping_data_etl,19,$ADA,961466.800000
scraping_data_etl,19,USD,248961.330000
social_media_marketing,203,$ADA,20047199.220000
social_media_marketing,203,USD,3295981.620000
translation_localization,110,$ADA,3380909.000000
translation_localization,110,USD,1808014.360000
video_audio,33,$ADA,1546751.990000
video_audio,33,USD,205928.110000
