epoch_no,start_time,reserves_delta_ada,deposit_net_ada,pot_transfer_reserves_ada,pot_transfer_treasury_ada
299,2021-10-27 21:46:25,-340132469.056206,29240.0,0.0,0.0
247,2021-02-09 21:44:51,-24434608.769715,77008.0,0.0,0.0
272,2021-06-14 21:45:23,-24333302.725185,46468.0,0.0,0.0
245,2021-01-30 21:44:51,-24320126.906194,56428.0,0.0,0.0
246,2021-02-04 21:44:51,-24297129.323316,56608.0,0.0,0.0
249,2021-02-19 21:44:51,-24286159.861686,106982.0,0.0,0.0
248,2021-02-14 21:45:10,-24248596.992718,93416.0,0.0,0.0
253,2021-03-11 21:44:51,-24231539.733921,81828.0,0.0,0.0
244,2021-01-25 21:44:51,-24184676.015458,27524.0,0.0,0.0
243,2021-01-20 21:44:51,-24081839.794051,38924.0,0.0,0.0
242,2021-01-15 21:44:51,-24056908.356205,38134.0,0.0,0.0
250,2021-02-24 21:44:51,-24054008.017838,95364.0,0.0,0.0
251,2021-03-01 21:44:51,-24010198.607421,111768.0,0.0,0.0
252,2021-03-06 21:44:51,-23898106.953513,96724.0,0.0,0.0
241,2021-01-10 21:45:01,-23729973.981585,29190.0,0.0,0.0
